"","cntry","cname","cedition","cproddat","cseqno","name","essround","edition","idno","dweight","pspwght","pweight","tvpol","polintr","trstlgl","mmbprty","gndr"
"1","HU","ESS1-7e01",1,"08.12.2016",181201,"ESS7e02_1",7,2.1,1001,1,1.18769644139711,0.497735512,1,4,6,NA,2
"2","HU","ESS1-7e01",1,"08.12.2016",181202,"ESS7e02_1",7,2.1,1004,1,0.698450877150084,0.497735512,1,4,0,NA,1
"3","HU","ESS1-7e01",1,"08.12.2016",181203,"ESS7e02_1",7,2.1,1005,1,1.09958314426322,0.497735512,1,4,0,NA,1
"4","HU","ESS1-7e01",1,"08.12.2016",181204,"ESS7e02_1",7,2.1,1006,1,1.09728402851575,0.497735512,2,1,10,NA,2
"5","HU","ESS1-7e01",1,"08.12.2016",181205,"ESS7e02_1",7,2.1,1008,1,0.957078673888136,0.497735512,1,4,0,NA,2
"6","HU","ESS1-7e01",1,"08.12.2016",181206,"ESS7e02_1",7,2.1,1010,1,1.70116843594863,0.497735512,2,4,88,NA,1
"7","HU","ESS1-7e01",1,"08.12.2016",181207,"ESS7e02_1",7,2.1,1011,1,0.70770303061171,0.497735512,1,3,0,NA,2
"8","HU","ESS1-7e01",1,"08.12.2016",181208,"ESS7e02_1",7,2.1,1012,1,0.70770303061171,0.497735512,0,3,7,NA,2
"9","HU","ESS1-7e01",1,"08.12.2016",181209,"ESS7e02_1",7,2.1,1015,1,0.867632721531403,0.497735512,2,4,5,NA,2
"10","HU","ESS1-7e01",1,"08.12.2016",181210,"ESS7e02_1",7,2.1,1018,1,1.8324889322562,0.497735512,1,2,2,NA,1
"11","HU","ESS1-7e01",1,"08.12.2016",181211,"ESS7e02_1",7,2.1,1019,1,1.09958314426322,0.497735512,1,3,4,NA,1
"12","HU","ESS1-7e01",1,"08.12.2016",181212,"ESS7e02_1",7,2.1,1023,1,1.09728402851575,0.497735512,1,4,6,NA,2
"13","HU","ESS1-7e01",1,"08.12.2016",181213,"ESS7e02_1",7,2.1,1024,1,0.957078673888136,0.497735512,66,4,5,NA,2
"14","HU","ESS1-7e01",1,"08.12.2016",181214,"ESS7e02_1",7,2.1,1026,1,0.708783783051947,0.497735512,1,3,0,NA,2
"15","HU","ESS1-7e01",1,"08.12.2016",181215,"ESS7e02_1",7,2.1,1027,1,1.09958314426322,0.497735512,2,4,3,NA,1
"16","HU","ESS1-7e01",1,"08.12.2016",181216,"ESS7e02_1",7,2.1,1028,1,1.70116843594863,0.497735512,66,4,3,NA,1
"17","HU","ESS1-7e01",1,"08.12.2016",181217,"ESS7e02_1",7,2.1,1030,1,1.80206722527228,0.497735512,1,4,2,NA,2
"18","HU","ESS1-7e01",1,"08.12.2016",181218,"ESS7e02_1",7,2.1,1032,1,1.47946242295992,0.497735512,2,3,5,NA,1
"19","HU","ESS1-7e01",1,"08.12.2016",181219,"ESS7e02_1",7,2.1,1033,1,1.70116843594863,0.497735512,2,2,10,NA,1
"20","HU","ESS1-7e01",1,"08.12.2016",181220,"ESS7e02_1",7,2.1,1034,1,1.09728402851575,0.497735512,1,4,5,NA,2
"21","HU","ESS1-7e01",1,"08.12.2016",181221,"ESS7e02_1",7,2.1,1036,1,1.09728402851575,0.497735512,2,4,5,NA,2
"22","HU","ESS1-7e01",1,"08.12.2016",181222,"ESS7e02_1",7,2.1,1041,1,1.46257437640464,0.497735512,1,3,5,NA,2
"23","HU","ESS1-7e01",1,"08.12.2016",181223,"ESS7e02_1",7,2.1,1042,1,0.698450877150084,0.497735512,1,3,2,NA,1
"24","HU","ESS1-7e01",1,"08.12.2016",181224,"ESS7e02_1",7,2.1,1043,1,1.09958314426322,0.497735512,2,3,5,NA,1
"25","HU","ESS1-7e01",1,"08.12.2016",181225,"ESS7e02_1",7,2.1,1044,1,1.09728402851575,0.497735512,4,4,2,NA,2
"26","HU","ESS1-7e01",1,"08.12.2016",181226,"ESS7e02_1",7,2.1,1045,1,1.70116843594863,0.497735512,2,3,3,NA,1
"27","HU","ESS1-7e01",1,"08.12.2016",181227,"ESS7e02_1",7,2.1,1048,1,1.09958314426322,0.497735512,2,2,6,NA,1
"28","HU","ESS1-7e01",1,"08.12.2016",181228,"ESS7e02_1",7,2.1,1049,1,1.09728402851575,0.497735512,1,4,4,NA,2
"29","HU","ESS1-7e01",1,"08.12.2016",181229,"ESS7e02_1",7,2.1,1050,1,0.698450877150084,0.497735512,1,3,6,NA,1
"30","HU","ESS1-7e01",1,"08.12.2016",181230,"ESS7e02_1",7,2.1,1051,1,0.708783783051947,0.497735512,7,3,3,NA,2
