"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,235,"TUR","Turkey",1,"Çanakkale",1,"Çan","District","District",NA,NA
2,235,"TUR","Turkey",1,"Çanakkale",2,"Ayvacik","District","District",NA,NA
3,235,"TUR","Turkey",1,"Çanakkale",3,"Bayramiç","District","District",NA,NA
4,235,"TUR","Turkey",1,"Çanakkale",4,"Biga","District","District",NA,NA
5,235,"TUR","Turkey",1,"Çanakkale",5,"Bozcaada","District","District",NA,NA
6,235,"TUR","Turkey",1,"Çanakkale",6,"Eceabat","District","District",NA,NA
7,235,"TUR","Turkey",1,"Çanakkale",7,"Ezine","District","District",NA,NA
8,235,"TUR","Turkey",1,"Çanakkale",8,"Gökçeada","District","District",NA,NA
9,235,"TUR","Turkey",1,"Çanakkale",9,"Gelibolu","District","District",NA,NA
10,235,"TUR","Turkey",1,"Çanakkale",10,"Lapseki","District","District",NA,NA
11,235,"TUR","Turkey",1,"Çanakkale",11,"Merkez","District","District",NA,"Çanakkale"
12,235,"TUR","Turkey",1,"Çanakkale",12,"Yenice","District","District",NA,NA
13,235,"TUR","Turkey",2,"Çankiri",13,"Çerkes","District","District",NA,NA
14,235,"TUR","Turkey",2,"Çankiri",14,"Atkaracalar","District","District",NA,NA
15,235,"TUR","Turkey",2,"Çankiri",15,"Sabanözü","District","District",NA,NA
16,235,"TUR","Turkey",2,"Çankiri",16,"Bayramören","District","District",NA,NA
17,235,"TUR","Turkey",2,"Çankiri",17,"Eldivan","District","District",NA,NA
18,235,"TUR","Turkey",2,"Çankiri",18,"Ilgaz","District","District",NA,NA
19,235,"TUR","Turkey",2,"Çankiri",19,"Kizilirmak","District","District",NA,NA
20,235,"TUR","Turkey",2,"Çankiri",20,"Korgun","District","District",NA,NA
21,235,"TUR","Turkey",2,"Çankiri",21,"Kursunlu","District","District",NA,NA
22,235,"TUR","Turkey",2,"Çankiri",22,"Merkez","District","District",NA,"Çankiri"
23,235,"TUR","Turkey",2,"Çankiri",23,"Orta","District","District",NA,NA
